[['Philapedia', 3.992303979497981], ['Washington D.C.', 2.2251878737397264], ['Washington D.C.', 2.703754348429766], ['Philapedia', 3.900215472550781], ['Seattle', 4.99003388996634], ['Seattle', 4.963410737537836], ['Seattle', 4.664828711626807], ['Washington D.C.', 2.9775830300549875], ['Seattle', 5.1520094519827495], ['Seattle', 4.737608046594454]]
[['Boston', 2.093985814757299], ['Boston', 2.1793159729324985], ['New York City', 0.8547418487793242], ['New York City', 1.2251179262347691], ['New York City', 0.8235654857118143], ['New York City', 1.087417099516995], ['Washington D.C.', 2.813270813708785], ['New York City', 1.2924171709255892], ['New York City', 1.0565946873859948], ['Washington D.C.', 3.61628582520372]]
[['Boston', 2.043480587372339], ['Boston', 1.9118383788728668], ['Boston', 1.5570729982586669], ['Seattle', 4.574358871507189], ['Philapedia', 3.9369470361719565], ['Washington D.C.', 3.0650302379944074], ['Boston', 1.8938835718167677], ['Boston', 2.0311432133058305], ['Philapedia', 4.260457095951467], ['Philapedia', 4.039086218817702]]
[['Philapedia', 3.6116333792859963], ['Boston', 1.793258283096185], ['Philapedia', 4.387763968875478], ['Boston', 2.2087054017858385], ['Boston', 2.408801905573621], ['Boston', 1.9796647025975695], ['Boston', 1.9969985991525312], ['Boston', 2.2223358993134603], ['Boston', 1.8649426010938146], ['Washington D.C.', 3.3743554716871422]]
[['Boston', 2.711244426528794], ['Seattle', 4.78142641593436], ['Boston', 1.6938164458702731], ['Boston', 1.9280246696970091], ['Seattle', 5.588655251668149], ['New York City', 0.6793496509940757], ['Washington D.C.', 2.8573267330854004], ['Seattle', 5.214821180962838], ['Seattle', 5.2383359649491075], ['Boston', 1.6247401288916128]]
[['New York City', 1.1880004546072618], ['Seattle', 5.081569017922362], ['New York City', 0.37817618779221396], ['Philapedia', 4.0565982685475275], ['Washington D.C.', 3.3621531744367705], ['Washington D.C.', 3.413605497891456], ['Seattle', 5.189721266091577], ['Seattle', 4.72524256390218], ['Philapedia', 3.9122847608129545], ['Washington D.C.', 2.8434098190021055]]
[['Seattle', 5.279650473564007], ['Philapedia', 3.4082457635385848], ['Seattle', 4.703182610439558], ['New York City', 1.06978324629169], ['Philapedia', 4.104581051668951], ['Philapedia', 3.837023116556436], ['New York City', 0.3737575906860412], ['Seattle', 4.406586877405784], ['Philapedia', 3.926774381874157], ['Philapedia', 3.738877818658074]]
[['Boston', 1.9876873952028615], ['Boston', 2.1893674077140295], ['Philapedia', 4.0737879266533215], ['New York City', 0.86041863998317], ['Philapedia', 3.7871012590210436], ['Philapedia', 4.030244082674808], ['Philapedia', 3.5857481840472936], ['New York City', 0.6848663455665766], ['Boston', 2.3045944575744572], ['Philapedia', 3.8250190760221923]]
[['Boston', 2.1323371531145083], ['Seattle', 5.216418302041893], ['Boston', 2.3922927887572265], ['Boston', 1.5779058592613742], ['Boston', 1.3569884183856549], ['Seattle', 4.755263880315058], ['Washington D.C.', 3.007118196347084], ['Washington D.C.', 3.147629739943482], ['Seattle', 4.881019958257786], ['Seattle', 5.0037943109165814]]
[['Washington D.C.', 3.6402063537980114], ['Philapedia', 4.214768625149774], ['Boston', 1.6398340999645757], ['Boston', 1.7410186763311108], ['Boston', 1.786955497281177], ['Philapedia', 3.3199575978884925], ['Boston', 1.697541838643667], ['Philapedia', 3.66571109853982], ['Philapedia', 3.8449250745664347], ['Seattle', 4.558150164531704]]
[['Washington D.C.', 3.102962745143359], ['Philapedia', 4.2586312744229], ['Boston', 1.7811066165062286], ['Boston', 2.2880038875096615], ['Washington D.C.', 2.9672560981385026], ['Boston', 1.9373462078837165], ['Boston', 1.7539301618833305], ['Boston', 1.6962018287271863], ['Boston', 2.2945750290127083], ['Boston', 1.6187147610102226]]
[['Seattle', 4.771701715175933], ['Boston', 1.3587724076291856], ['Seattle', 5.074885498480564], ['Boston', 1.6821636822578525], ['Seattle', 5.004899191480147], ['New York City', 0.21136934228315818], ['New York City', 1.4279577793822418], ['Boston', 2.4276868670666336], ['Seattle', 5.054101096557246], ['Boston', 2.3770392366880575]]
[['Seattle', 5.206770712422711], ['Seattle', 4.729044775102955], ['Boston', 1.826645443320219], ['Seattle', 4.727540139458676], ['New York City', 1.047697195168281], ['Seattle', 4.893167045303559], ['New York City', 0.9336208866118336], ['Boston', 1.7037386157662975], ['Seattle', 4.462280390020109], ['Boston', 2.423176888089433]]
[['Philapedia', 4.618826771646377], ['Philapedia', 4.269263380399072], ['Philapedia', 4.1407524589114635], ['Philapedia', 3.737066357611337], ['Philapedia', 3.8645808369608536], ['Philapedia', 3.933536193763304], ['New York City', 1.6196915338741014], ['Philapedia', 3.7531004116308875], ['Seattle', 4.980896853594047], ['New York City', 0.9731880047714476]]
[['Washington D.C.', 2.9766715315922125], ['Seattle', 5.267313522261563], ['Philapedia', 4.004910656420391], ['Philapedia', 4.388676292123204], ['Philapedia', 3.8476104479841124], ['Philapedia', 3.8620666583844403], ['New York City', 1.1781558153828156], ['Washington D.C.', 2.666723075834994], ['Seattle', 4.751752687502515], ['Philapedia', 4.039317381640303]]
[['Washington D.C.', 2.6221153487694684], ['Seattle', 5.013809819915444], ['Washington D.C.', 3.186233278884438], ['New York City', 0.9941236359582287], ['New York City', 1.45609618224133], ['Washington D.C.', 2.957633463354963], ['Washington D.C.', 3.559503660238817], ['Philapedia', 4.0133584690509565], ['Seattle', 5.091508210818453], ['Washington D.C.', 3.310694813572894]]
[['Philapedia', 4.038789939734435], ['New York City', 1.1765717836359555], ['Boston', 1.7405078255306865], ['Philapedia', 4.435580604670548], ['Philapedia', 4.1291104542484796], ['Philapedia', 4.085297433425739], ['Seattle', 4.854096379690452], ['Philapedia', 3.963006286413924], ['New York City', 1.4278644925661892], ['Boston', 2.2346860445452683]]
[['Seattle', 5.001115864403691], ['New York City', 1.299440251601492], ['Seattle', 5.013525421424175], ['Boston', 1.9804010192232682], ['New York City', 1.9186514542192077], ['Washington D.C.', 3.182521298627301], ['Boston', 2.2156111466820487], ['Seattle', 5.361255402300732], ['Seattle', 4.789725473944665], ['Boston', 1.8801038533966552]]
[['Philapedia', 4.340273313121019], ['Boston', 1.7450650923147646], ['Seattle', 4.605123366778967], ['Seattle', 5.302484348805588], ['Boston', 1.9088477930413523], ['Philapedia', 4.671483539909049], ['Washington D.C.', 2.614705561996682], ['Washington D.C.', 2.934259920291694], ['Philapedia', 3.909555112594532], ['Philapedia', 3.460951312089587]]
[['New York City', 1.0005060999732298], ['Seattle', 5.861648169209229], ['Seattle', 5.313948019385555], ['Seattle', 5.556840149779066], ['Seattle', 5.156756436661587], ['Seattle', 5.019729973380921], ['Boston', 1.9788160263701744], ['Seattle', 5.105697044810042], ['Seattle', 5.069305839223656], ['New York City', 1.2334079638660869]]
[['Boston', 2.18627433348098], ['Philapedia', 3.631240057624802], ['Boston', 2.232869261768262], ['Boston', 2.3704010930095047], ['Seattle', 5.224735520708479], ['Washington D.C.', 2.4970263347196835], ['Boston', 1.745973627189672], ['Boston', 1.9119168356488], ['Boston', 1.9140243488236581], ['Washington D.C.', 3.18636343606481]]
[['Philapedia', 3.836478206488724], ['Philapedia', 3.5651045736372904], ['Philapedia', 4.200231968797385], ['Philapedia', 4.066610162879531], ['Philapedia', 4.304339493152575], ['Seattle', 5.038577659643895], ['Seattle', 4.875532683668063], ['Boston', 1.7511680019210523], ['Philapedia', 3.5226749708782426], ['New York City', 1.4843765924928993]]
[['Seattle', 5.140637491778946], ['Boston', 2.392289349175796], ['Boston', 2.3131384354070135], ['Seattle', 5.305917820357687], ['Seattle', 5.1309095297021345], ['Boston', 1.4965508154309106], ['Seattle', 4.874119263657422], ['Seattle', 5.519022144611287], ['Seattle', 5.480889862081129], ['Seattle', 5.1591658627655255]]
[['Washington D.C.', 2.513120243790795], ['Washington D.C.', 3.6089583861802823], ['New York City', 0.6218549683377199], ['Washington D.C.', 3.2008267916708304], ['Washington D.C.', 2.7942600548772463], ['Washington D.C.', 2.9463339482668234], ['Washington D.C.', 2.8544326164268834], ['Seattle', 4.671716680812289], ['Washington D.C.', 2.682474385719609], ['Philapedia', 4.016573931655735]]
[['Washington D.C.', 2.827668148410177], ['Philapedia', 4.02411956964876], ['Seattle', 5.029405608328193], ['Washington D.C.', 2.361336998143335], ['New York City', 0.8282462168598375], ['Seattle', 4.373149145053221], ['Washington D.C.', 2.910012746579294], ['Washington D.C.', 3.105532774700257], ['Washington D.C.', 2.970397552045355], ['Philapedia', 3.940772127606866]]
[['Boston', 2.4699182960011905], ['Seattle', 6.002756994239465], ['Washington D.C.', 3.652634438932132], ['Seattle', 4.752668284982133], ['New York City', 0.894750691274395], ['Seattle', 4.693046487246361], ['Boston', 1.9130165696239545], ['Boston', 2.3633289894798746], ['Seattle', 5.026953102165105], ['Boston', 1.0026043206093755]]
[['Washington D.C.', 2.9457938781553574], ['Washington D.C.', 2.857209338056325], ['Washington D.C.', 2.9700121974607963], ['New York City', 0.959394841212282], ['New York City', 0.6959903104647519], ['Philapedia', 4.159576147946983], ['Philapedia', 4.37065070264036], ['New York City', 1.0380234699403939], ['New York City', 0.7352885611257038], ['Washington D.C.', 2.554201675739515]]
[['Boston', 1.8806253968028233], ['Boston', 1.8792977232913495], ['Seattle', 4.725393146643461], ['Seattle', 4.497969887407747], ['Boston', 1.8531151155008203], ['Boston', 1.8839514240676454], ['Washington D.C.', 3.3957579878995245], ['Seattle', 4.736611615041265], ['Seattle', 4.845458650735947], ['Seattle', 5.106615493809336]]
[['Boston', 1.7484426345947128], ['Boston', 2.2077913706854364], ['Boston', 2.5430667206192683], ['Seattle', 5.166565213060071], ['Washington D.C.', 2.7678676360059793], ['Seattle', 4.746389081427948], ['Washington D.C.', 2.970290171696389], ['Boston', 2.249627521423177], ['New York City', 0.9080662162576041], ['Seattle', 4.828028721341815]]
[['New York City', 1.1025571955408753], ['New York City', 0.6894688213583224], ['Seattle', 5.484125726855593], ['New York City', 0.8089500018622319], ['Philapedia', 4.105241749631908], ['Philapedia', 3.9276421341964243], ['Boston', 2.3526107169893358], ['New York City', 0.9893059217302312], ['Philapedia', 4.122481016722937], ['New York City', 0.9439127903121158]]
[['Philapedia', 3.604617207486083], ['Boston', 2.1522723042537435], ['Boston', 1.801461083023927], ['Boston', 1.434616099932706], ['Boston', 1.9792457113415478], ['Boston', 2.2718872588992296], ['Seattle', 5.345842202157938], ['Boston', 1.4940788968876322], ['Boston', 1.980577273729594], ['Boston', 1.8769375355048283]]
[['Seattle', 4.451300930104535], ['Boston', 1.9641617319966267], ['Boston', 2.354815351980755], ['New York City', 1.0904081852743832], ['Seattle', 5.480274643383853], ['New York City', 1.4436278613163223], ['New York City', 1.4445518924672283], ['Boston', 2.375597875494668], ['Washington D.C.', 2.849544793091308], ['Seattle', 5.051406816780414]]
[['Philapedia', 4.612747603372425], ['Boston', 2.3755829929526953], ['Washington D.C.', 2.9912904245214142], ['Seattle', 5.483278073374532], ['Washington D.C.', 3.500974162786633], ['Philapedia', 3.286041383795313], ['Seattle', 4.7807471327526105], ['Philapedia', 3.968097609802713], ['Boston', 1.8500261571429546], ['Philapedia', 3.977174984311443]]
[['Boston', 1.8437175993809047], ['Boston', 2.029594190863655], ['Boston', 2.145154079331403], ['Seattle', 5.155488691457043], ['Boston', 2.204627102426084], ['Boston', 1.697690990418105], ['Boston', 1.9742423726812397], ['Boston', 1.5392980274091037], ['Boston', 2.317878090500483], ['Boston', 2.408961126884085]]
[['Washington D.C.', 2.8315198538910122], ['Philapedia', 3.7320705237670158], ['Boston', 1.4761863393351367], ['Boston', 2.416108811624335], ['Boston', 1.5122282801881406], ['Washington D.C.', 2.8877979710440993], ['Washington D.C.', 2.9613035187324233], ['Philapedia', 3.5142029459581496], ['New York City', 0.6907942564356382], ['Washington D.C.', 2.6324208337160258]]
[['Boston', 2.1197402584382723], ['Boston', 1.800161527433157], ['Seattle', 4.725094060958585], ['Seattle', 5.110161663830243], ['Seattle', 5.248333683183269], ['Seattle', 4.780495268116066], ['Seattle', 4.963051418323301], ['Boston', 1.755737701271785], ['Boston', 1.677153818278561], ['New York City', 0.8037718489579717]]
[['Washington D.C.', 3.0137037326079716], ['Seattle', 4.9668701480325295], ['Boston', 2.0308539533001393], ['Boston', 2.014254607276263], ['Boston', 1.9651621113800914], ['Seattle', 5.2485462382531995], ['Seattle', 4.511216628237053], ['Seattle', 5.162659428146657], ['Washington D.C.', 3.416339226470482], ['Boston', 1.7659617178829907]]
[['Boston', 2.1736102518742637], ['Boston', 1.648304996694875], ['Philapedia', 3.868062769943404], ['Washington D.C.', 3.174886860793773], ['Boston', 2.510445164492367], ['Boston', 2.2064804126348894], ['Boston', 2.0835561023457703], ['Seattle', 4.829491628548133], ['Boston', 2.2584709189176313], ['Boston', 2.115958970396203]]
[['Boston', 2.159842440456852], ['Boston', 1.7534818335331044], ['Boston', 1.9601013518863972], ['Philapedia', 4.257297758786936], ['Washington D.C.', 3.080537870229376], ['Seattle', 5.170725665843724], ['Boston', 1.5201432206461103], ['Philapedia', 4.028027233143039], ['Philapedia', 3.6964531433662504], ['Boston', 1.820752360234308]]
[['Philapedia', 3.910069656272173], ['Washington D.C.', 2.4917152817778576], ['Washington D.C.', 2.978541235871356], ['Philapedia', 4.105730089934117], ['Boston', 2.302932131485294], ['Boston', 1.6769815411996796], ['Philapedia', 3.9371464011856463], ['Boston', 2.123658073687154], ['Boston', 2.369600169683981], ['Philapedia', 4.270412996684732]]
[['Washington D.C.', 2.5518548137634562], ['Washington D.C.', 3.1574853171785824], ['Washington D.C.', 3.096722011963398], ['Seattle', 5.157010496211718], ['Seattle', 5.097987337488521], ['Philapedia', 3.8228370695121967], ['Seattle', 5.192846543826813], ['Washington D.C.', 2.580742266781478], ['Washington D.C.', 3.283541925369221], ['Washington D.C.', 2.9103379179319044]]
[['Boston', 1.3321455415048342], ['Boston', 1.98044752606794], ['Boston', 1.6216375975132538], ['Philapedia', 4.191871326306444], ['Philapedia', 4.018155724416581], ['Philapedia', 3.9028386973825016], ['Philapedia', 4.214112213879923], ['Washington D.C.', 3.0094107633049796], ['Philapedia', 4.146316744838327], ['Philapedia', 4.133328236634034]]
[['Washington D.C.', 3.149536067113337], ['New York City', 1.2952092442659717], ['Washington D.C.', 2.5479236932251084], ['Washington D.C.', 2.907735873362807], ['Washington D.C.', 3.1212398781284056], ['Washington D.C.', 2.986324106714461], ['Philapedia', 3.630242412487966], ['Philapedia', 3.7333519554745833], ['Washington D.C.', 2.999220499283545], ['Seattle', 4.502899506209667]]
[['Boston', 2.1087169535412604], ['Philapedia', 4.09177838379517], ['Philapedia', 3.190192029951412], ['Seattle', 4.971080861510637], ['New York City', 1.1641292620236163], ['Philapedia', 3.883055479625315], ['Philapedia', 3.316364552907557], ['Philapedia', 3.848195269595442], ['New York City', 1.2312670516008724], ['Philapedia', 3.6755436293367736]]
[['Philapedia', 4.288865217674122], ['Boston', 2.0671617026208784], ['Boston', 2.117173336636624], ['Seattle', 4.790322453435901], ['Boston', 2.20594130434896], ['Seattle', 5.16543724381601], ['Boston', 1.9171275198610158], ['Boston', 1.630992990075426], ['Philapedia', 4.179014313457735], ['Boston', 2.005153721849558]]
[['Boston', 1.7183826837600669], ['Boston', 1.6988191622977598], ['Philapedia', 4.165511890603247], ['Boston', 1.4203035277750469], ['Boston', 1.857818159262818], ['Philapedia', 4.253631705124164], ['Boston', 1.9048506190812264], ['Boston', 2.144532924656165], ['Seattle', 5.187134401839945], ['Philapedia', 4.174419641017297]]
[['Boston', 2.7096922063253626], ['Washington D.C.', 3.051902646113618], ['Boston', 1.9717669507696585], ['Seattle', 4.85869782550799], ['Seattle', 5.22325618097964], ['New York City', 1.181913429620152], ['Washington D.C.', 2.3382288841081467], ['Washington D.C.', 3.110737117848985], ['Seattle', 4.8044761235183575], ['Washington D.C.', 3.132189991056676]]
[['Philapedia', 4.072550105523669], ['Washington D.C.', 3.282120490894139], ['Boston', 2.3541530154402968], ['Boston', 1.5270708746296584], ['Philapedia', 3.9792854908703448], ['Boston', 2.1128228198507064], ['Boston', 1.96461578799089], ['Boston', 1.8071068566331603], ['Washington D.C.', 2.8949317201185627], ['Philapedia', 4.939572324382434]]
[['Boston', 1.676619526544309], ['Seattle', 4.959183257579605], ['Washington D.C.', 2.9400665335936464], ['Seattle', 4.921616344680799], ['Boston', 2.52730246402999], ['Seattle', 4.710900361366567], ['Seattle', 5.0292078779912925], ['Seattle', 4.348705722786639], ['Seattle', 4.851261448217342], ['Seattle', 5.3207411478125906]]
[['Seattle', 5.051779425091729], ['Boston', 2.506726395198372], ['Boston', 1.882234766131449], ['Seattle', 5.2209927657407045], ['Seattle', 4.793934889331266], ['Boston', 1.907213888791439], ['Boston', 1.5278734883191334], ['Seattle', 5.553207189807163], ['Seattle', 4.854768021672745], ['New York City', 1.109936881568942]]
[['Boston', 2.2985898869135917], ['Seattle', 5.167555556369463], ['New York City', 1.2747053390270593], ['Boston', 2.5260366238283156], ['Boston', 1.835648626010284], ['New York City', 1.6050316905422344], ['New York City', 0.5068352208079785], ['Washington D.C.', 3.1455925039734467], ['Boston', 2.208349169304982], ['Boston', 2.393250425210727]]
[['Philapedia', 3.7527137002920155], ['Seattle', 4.986886426053592], ['Washington D.C.', 3.2176719787213974], ['Seattle', 5.156760551946463], ['New York City', 1.4844519537605014], ['Washington D.C.', 2.93302173907483], ['Seattle', 4.779612189609282], ['Philapedia', 3.415367807849776], ['Washington D.C.', 2.259972563415511], ['Washington D.C.', 3.3824508584994417]]
[['Boston', 1.7343223799689604], ['Philapedia', 4.073481852145656], ['Boston', 2.044374057005882], ['Boston', 2.1114495332068324], ['Washington D.C.', 2.6877022324059587], ['Boston', 2.1221662466530122], ['Boston', 1.9922087791376917], ['Washington D.C.', 3.178915874939416], ['Boston', 1.869232385342156], ['Boston', 2.0069348055570684]]
[['Seattle', 4.715547731634394], ['Philapedia', 4.119363367980198], ['Seattle', 4.817487159928907], ['Seattle', 5.351726142490727], ['Washington D.C.', 3.35487622451799], ['Seattle', 5.019431122346139], ['Washington D.C.', 3.1313397740092586], ['Washington D.C.', 3.1749386848660666], ['Washington D.C.', 3.214201312274819], ['New York City', 1.0921626410075582]]
[['Seattle', 5.1247109826317025], ['Philapedia', 4.010964184420695], ['Philapedia', 3.8921558345101213], ['Philapedia', 3.8465355969759134], ['Philapedia', 4.007714330422505], ['Philapedia', 4.180211782905431], ['Boston', 2.1009889917863678], ['Philapedia', 4.186925852792436], ['New York City', 0.2773632838822746], ['New York City', 0.7169484183259052]]
[['Seattle', 4.507037629332094], ['Seattle', 5.030764415265231], ['New York City', 0.7416092323535728], ['Boston', 1.963068274509458], ['Seattle', 5.366605494165979], ['Washington D.C.', 3.5944556042721367], ['Seattle', 4.700239569190455], ['Seattle', 5.171260930157681], ['Boston', 2.1668595638066828], ['Seattle', 4.8441934454648266]]
[['Philapedia', 4.507889235644581], ['Seattle', 5.449877381385995], ['Washington D.C.', 2.7131663959687615], ['Philapedia', 3.77615265999233], ['Washington D.C.', 2.245218035971903], ['Washington D.C.', 2.8395557872942176], ['Philapedia', 4.189096126597978], ['Seattle', 4.865266275606822], ['Washington D.C.', 2.845167849895461], ['Washington D.C.', 2.8584634336305843]]
[['Seattle', 5.166920572356944], ['Boston', 2.254465979501759], ['Seattle', 4.929791198661655], ['Washington D.C.', 3.054595120753937], ['Seattle', 4.779912555838184], ['Seattle', 5.128222351753306], ['Boston', 1.9449186208008569], ['New York City', 1.4473972894335168], ['Seattle', 5.1388792434668344], ['Seattle', 4.469778051497659]]
[['Washington D.C.', 2.6711716931038865], ['Philapedia', 4.373282516856855], ['Boston', 2.1857184226281183], ['Boston', 2.3362984262196664], ['Boston', 2.059835077684274], ['Seattle', 4.917258920414438], ['Boston', 1.9908137983764314], ['Boston', 2.071835253559045], ['Seattle', 5.224031164084226], ['Boston', 2.2059633911914247]]
[['New York City', 1.2039445823598804], ['New York City', 1.5045885586867391], ['Washington D.C.', 2.9241118621552094], ['Boston', 2.2212782501620185], ['Washington D.C.', 2.357606474448857], ['New York City', 0.7516313554668984], ['New York City', 0.8276970998561137], ['Boston', 1.951151761133228], ['Boston', 1.893562617441035], ['New York City', 1.350714235710498]]
[['Washington D.C.', 2.710839045148145], ['Boston', 1.6439155438983217], ['Philapedia', 4.243086080449547], ['Boston', 1.8803712783886002], ['Boston', 1.7983625032328483], ['Boston', 1.959961937953439], ['Philapedia', 3.691721247908942], ['Boston', 2.608679702137722], ['Boston', 1.45587682663764], ['Boston', 2.2342362570365997]]
[['Washington D.C.', 2.816602349150943], ['Boston', 1.6894291681565763], ['Boston', 2.370942218811381], ['Boston', 1.6794704491654562], ['Boston', 2.068016081307769], ['Washington D.C.', 2.856411246569916], ['Philapedia', 3.6600310959602953], ['Boston', 2.0540102342261504], ['Boston', 1.7785627037584861], ['Boston', 1.6781004504846777]]
[['Philapedia', 3.4529103768031106], ['Philapedia', 3.9818846391899214], ['Philapedia', 4.637264496576072], ['Philapedia', 3.9021363080192493], ['Philapedia', 4.055278872884943], ['Philapedia', 4.041676336412692], ['New York City', 0.9697876497445894], ['Philapedia', 4.092412494673855], ['Philapedia', 4.3108167356939955], ['Philapedia', 4.522513159916821]]
[['Philapedia', 4.067440881449038], ['Boston', 1.6670651052848053], ['Seattle', 4.617083274383445], ['Philapedia', 4.233066446682437], ['New York City', 0.9188567175710455], ['Boston', 1.7877963405438186], ['Boston', 1.5939712781067488], ['Seattle', 5.2695289851239435], ['Boston', 2.061124525671191], ['New York City', 0.18391392846152976]]
[['Philapedia', 3.7567749131968875], ['Boston', 2.006194328363576], ['Boston', 2.1330501406030953], ['Boston', 1.768855166967997], ['Washington D.C.', 3.5030530431749525], ['Washington D.C.', 3.104534837405051], ['Boston', 1.8112453865229907], ['Seattle', 4.7958513285983075], ['Boston', 2.2177369201968795], ['Philapedia', 3.7248111095806937]]
[['Boston', 1.4709271483547592], ['Boston', 1.6385300163316132], ['Boston', 1.3923545749392363], ['Philapedia', 3.9332745357118726], ['Boston', 2.5184169472771183], ['Boston', 1.5776209762715963], ['Boston', 1.3306941620560766], ['Washington D.C.', 2.9581077068177364], ['Washington D.C.', 3.554295800941155], ['Boston', 1.9564881973281214]]
